"","production_year","country_of_origin","mileage","aso_serviced","power","title","color","brand","metallic","price","first_registration","version","location","collision_free","model","type","fuel_type","lat","lon"
"98",2004,"Poland",165000,"","96 KM","Toyota Corolla Salon Polska I Wlasciciel 1.4 benzyna","Inny kolor","Toyota","Tak",14900,"","Seria E12 (2001-2007)","ul.6-go Sierpnia 71 rog al.Wlókniarzy - 92-525 Lódz, Sródmiescie","","Corolla","Hatchback","Benzyna",51.7883219,19.4213219
"99",2002,"Poland",196050,"Tak","97 KM","Toyota Corolla","Srebrny","Toyota","",11900,"","Seria E12 (2001-2007)","SZCZECINSKA 42 - 76-200 Slupsk, Pomorskie","","Corolla","Sedan/Limuzyna","Benzyna",54.4547498,16.9809599
"100",2000,"",230,"","95 KM","Toyota Corolla toyota corolla 2000r stan b dobry zamiana","Bialy","Toyota","",5900,"","Seria E11 (1997-2002)","Opole","","Corolla","Hatchback","Benzyna",50.6751067,17.9212976
"101",1999,"Poland",133000,"Tak","","Toyota Corolla SALON POLSKA - I Wlasciciel - 133tys KM !!!","Czerwony","Toyota","",8500,"","Seria E11 (1997-2002)","Sierpc","Tak","Corolla","Hatchback","Diesel",52.8568142,19.669432
"102",1998,"",145698,"","","Toyota Corolla E 11 Hatchback 1998 rok 1.4 XLI","Srebrny","Toyota","Tak",4999,"","Seria E11 (1997-2002)","Chodecz","","Corolla","Hatchback","Benzyna",52.4048502,19.0274989
"103",2003,"Austria",198000,"","125 KM","Toyota Corolla Bezwypadkowa w super stanie diesel D4D niezawodna","Srebrny","Toyota","Tak",12900,"","Seria E12 (2001-2007)","Slemien","Tak","Corolla","Hatchback","Diesel",49.7176815,19.3674131
"104",1998,"Poland",219062,"","110 KM","Toyota Corolla e11 bezwypadkowy, garazowany, w dobrym stanie technicznym","Srebrny","Toyota","Tak",6000,"","Seria E11 (1997-2002)","Zgierz","Tak","Corolla","Sedan/Limuzyna","Benzyna",51.8550576,19.4060704
"105",2005,"",215000,"","116 KM","Toyota Corolla TOYOTA Corolla D4D 2.0 116km ODO:215000km","Niebieski","Toyota","Tak",22400,"","Seria E12 (2001-2007)","Szydlowiec","Tak","Corolla","Hatchback","Diesel",51.2279908,20.8611466
"106",1997,"Poland",140000,"Tak","","Toyota Corolla Toyota Corolla E10 piekna ZADBANA ORYGINALNY PRZEBIEG !!!","Srebrny","Toyota","Tak",5000,"marzec 1997","Seria E10 (1992-1997)","Brzesko","","Corolla","Sedan/Limuzyna","Benzyna",49.9647187,20.6034471
"107",2004,"France",63600,"Tak","110 KM","Toyota Corolla 1.6 VVT-i!! SOL!! Bogata Wersja!! Klima!! Alu!!","Srebrny","Toyota","Tak",14000,"grudzien 2004","Seria E12 (2001-2007)","Al. Kazimierza 12 ( Pchli Targ ) - 87-800 Wloclawek, Kujawsko-pomorskie","","Corolla","Hatchback","Benzyna",52.6483303,19.0677357
"108",2004,"Germany",154172,"","110 KM","Toyota Corolla Toyota Corolla Ogloszenie prywatne,okazja!","Srebrny","Toyota","",12500,"listopad 2004","Seria E12 (2001-2007)","Limanowa","","Corolla","Hatchback","Benzyna",49.70587,20.42228
"109",1997,"Germany",234000,"","","Toyota Corolla E 11 / 1997 / wersja japonska","Niebieski","Toyota","",5400,"sierpien 1997","Seria E11 (1997-2002)","Bielsko-Biala","","Corolla","Hatchback","Benzyna",49.8223768,19.0583845
"110",2003,"Germany",250,"","116 KM","Toyota Corolla - czysta, zadbana, wlasciciel niepalacy.","Srebrny","Toyota","Tak",14000,"maj 2003","Seria E12 (2001-2007)","Halinów","Tak","Corolla","Hatchback","Diesel",52.2283049,21.355139
"111",2005,"Germany",117000,"Tak","110 KM","Toyota Corolla Sliczna COROLLA 1.6i TYLKO 117ooo Bardzo zadbany ORYGINAL z Niemiec","Czerwony","Toyota","",15999,"","Seria E12 (2001-2007)","Debowa 2 - 83-047 Jodlowno, gdanski, Pomorskie","Tak","Corolla","Kombi","Benzyna",54.2111183,18.3247771
"112",2003,"Poland",159000,"","","Toyota Corolla 5 drzwi, klimatyzacja, alu, benzyna!! Lódz","Czarny","Toyota","Tak",22500,"","Seria E12 (2001-2007)","Bratoszewice","","Corolla","Hatchback","Benzyna",51.9312261,19.649587
"113",2004,"Germany",168000,"Tak","110 KM","Toyota Corolla 1.6 benzyna LIFT klima alu GWARANCJA VIP 5 drzwi","Czarny","Toyota","Tak",18900,"","Seria E12 (2001-2007)","Sielska 45A - 10-801 Olsztyn, Warminsko-mazurskie","Tak","Corolla","Hatchback","Benzyna",53.76893,20.4092059
"114",1997,"Poland",157000,"Tak","86 KM","Toyota Corolla Toyota corolla, technicznie ideal!","Niebieski","Toyota","Tak",7700,"listopad 1997","Seria E11 (1997-2002)","Piaseczno","Tak","Corolla","Hatchback","Benzyna+LPG",52.0811536,21.0238602
"115",2005,"Poland",130000,"Tak","85 KM","Toyota Corolla stan idealny","Szary","Toyota","Tak",17500,"listopad 2005","Seria E12 (2001-2007)","Warszawa","Tak","Corolla","Hatchback","Diesel",52.2296756,21.0122287
"116",2004,"Poland",82000,"","97 KM","Toyota Corolla Corolla kombi polaris salon bezwypadkowy","Inny kolor","Toyota","",18000,"pazdziernik 2004","Seria E12 (2001-2007)","Warszawa","","Corolla","Kombi","Benzyna",52.2296756,21.0122287
"117",2002,"Poland",2e+05,"","97 KM","Toyota Corolla 1,4 vvti","Zielony","Toyota","Tak",10000,"kwiecien 2002","Seria E12 (2001-2007)","Pabianice","Tak","Corolla","Hatchback","Benzyna",51.6567303,19.35776
"118",2002,"Poland",165000,"","110 KM","Toyota Corolla 1.6 VVT-i Salon POLSKA 5-drzwiowy","Czarny","Toyota","Tak",9999,"","Seria E12 (2001-2007)","Madalinskiego 4 - 70-101 Szczecin, Zachodniopomorskie","","Corolla","Hatchback","Benzyna",53.4154205,14.5342119
"119",2000,"",189999,"","99 KM","Toyota Corolla","Srebrny","Toyota","Tak",2600,"","Seria E11 (1997-2002)","zupanskiego 9 - 71-440 Szczecin, Zachód","","Corolla","Sedan/Limuzyna","Benzyna",53.4466417,14.5405349
"120",2004,"Poland",158000,"Tak","116 KM","Toyota Corolla Salon Polska, rej. 2005","Srebrny","Toyota","Tak",20200,"styczen 2005","Seria E12 (2001-2007)","Góra Kalwaria","Tak","Corolla","Sedan/Limuzyna","Diesel",51.976466,21.215337
"121",2002,"Germany",211803,"Tak","110 KM","Toyota Corolla ZAREJESTROWANY Bezwypadkowy Klimatronik Serwis VIP GWARANCJA","Srebrny","Toyota","Tak",11900,"pazdziernik 2002","Seria E12 (2001-2007)","ul. Glówna 56 - 42-200 Czestochowa, Slaskie","Tak","Corolla","Hatchback","Diesel",50.8017179,19.0759231
"122",2005,"",208000,"","","Toyota Corolla","Srebrny","Toyota","",15900,"","Seria E12 (2001-2007)","Torunska 58b - 87-162 Lubicz Dolny, torunski, Kujawsko-pomorskie","","Corolla","Hatchback","Diesel",53.0322879,18.7431829
"123",2005,"Germany",192000,"","110 KM","Toyota Corolla 1,6 VVTi,Klimatronik,Super stan!!","Czerwony","Toyota","",14900,"","Seria E12 (2001-2007)","Glówna 19 - 89-500 Tuchola, tucholski, Kujawsko-pomorskie","Tak","Corolla","Kombi","Benzyna",53.593429,17.859993
"124",2004,"",177000,"Tak","97 KM","Toyota Corolla * stan idealny * od osoby prywatnej * alufelgi * opony zimowe *","Czerwony","Toyota","",13450,"kwiecien 2004","Seria E12 (2001-2007)","Gdansk","Tak","Corolla","Hatchback","Benzyna",54.3520252,18.6466384
"125",2004,"Poland",76000,"Tak","110 KM","Toyota Corolla Prestige, Stan Idealny, Krajowy II Wl.","Srebrny","Toyota","Tak",21900,"","Seria E12 (2001-2007)","2 lokalizacje (czytaj w opisie) - 87-100 Torun, Kujawsko-pomorskie","Tak","Corolla","Hatchback","Benzyna",53.0137902,18.5984437
"126",2002,"",219000,"","90 KM","Toyota Corolla","Czerwony","Toyota","",9900,"","Seria E12 (2001-2007)","Kielce","","Corolla","Hatchback","Benzyna",50.8660773,20.6285677
"127",1997,"Poland",240000,"","86 KM","Toyota Corolla 1.4i SALON POLSKA auto na lata","Czarny","Toyota","Tak",3200,"","Seria E11 (1997-2002)","Otwock","","Corolla","Hatchback","Benzyna",52.1053186,21.2616248
"128",2005,"",194000,"Tak","90 KM","Toyota Corolla 1.4 D4D Zarejestrowany w Polsce Serwisowany","Inny kolor","Toyota","Tak",12900,"","Seria E12 (2001-2007)","Krakowska 62 - 34-730 Mszana Dolna, limanowski, Malopolskie","Tak","Corolla","Hatchback","Diesel",49.6836629,20.053631
"129",2003,"Poland",158601,"Tak","97 KM","Toyota Corolla rej. 2004","Niebieski","Toyota","",12600,"luty 2004","Seria E12 (2001-2007)","Zabki","Tak","Corolla","Hatchback","Benzyna",52.2870682,21.1079604
"130",2004,"",1,"","1 KM","Toyota Corolla Toyota Corolla 2004 2.0 D4D klimatyzacja","Szary","Toyota","",5500,"","Seria E12 (2001-2007)","Kraków","","Corolla","Kombi","Diesel",50.0646501,19.9449799
"131",2004,"Poland",141200,"","","Toyota Corolla 1.6 VVTI 4 x el.szyby,alufelgi,wersja SOL,","Srebrny","Toyota","Tak",5999,"","Seria E12 (2001-2007)","Chodecz","","Corolla","Hatchback","Benzyna",52.4048502,19.0274989
"132",2003,"Poland",201000,"","110 KM","Toyota Corolla Salon ! Klima ! Ladna !","Niebieski","Toyota","",15300,"","Seria E12 (2001-2007)","ul. Gnieznienska 32 - 75-736 Koszalin, Zachodniopomorskie","","Corolla","Kombi","Benzyna",54.1764104,16.1933266
"133",2003,"Germany",2e+05,"","110 KM","Toyota Corolla navi, jeden wlasciciel w kraju","Bialy","Toyota","",11900,"sierpien 2003","Seria E12 (2001-2007)","Czestochowska 74 - 42-270 Konary, czestochowski, Slaskie","Tak","Corolla","Kombi","Benzyna",50.9174889,19.3922019
"134",2004,"Poland",106825,"Tak","97 KM","Toyota Corolla","Czerwony","Toyota","",15900,"","Seria E12 (2001-2007)","AL. POKOJU 57 - 31-564 Kraków, Czyzyny","","Corolla","Hatchback","Benzyna",50.0633634,19.9875222
"135",2005,"",223000,"Tak","70 KM","Toyota Corolla kombi, poj 1,4 , autogaz z Toyoty, idealny stan OKAZJA","Srebrny","Toyota","Tak",14900,"","Seria E12 (2001-2007)","Gajków","Tak","Corolla","Kombi","Benzyna+LPG",51.0582695,17.1865415
"136",2004,"Poland",114000,"Tak","","Toyota Corolla 1,4 VVT-i Terra Polaris, Krajowa","Srebrny","Toyota","",16500,"","Seria E12 (2001-2007)","Szczecin","Tak","Corolla","Hatchback","Benzyna",53.4285438,14.5528116
"137",2002,"",274000,"","110 KM","Toyota Corolla ABS, klimatronik, elektryczne lusterka, kierownica wielofunkcyjna","Inny kolor","Toyota","Tak",9800,"","Seria E12 (2001-2007)","Swarzedz","","Corolla","Hatchback","Benzyna",52.4125371,17.0855512
"138",2003,"Germany",228000,"","90 KM","Toyota Corolla Toyota Corolla 2,0 D4D*TD BDB Stan !! 1 wl !! okazja ! zobacz !! 2003r","Inny kolor","Toyota","",9900,"","Seria E12 (2001-2007)","Jerzmanowice","Tak","Corolla","Kombi","Diesel",50.2118918,19.7463992
"139",2002,"Poland",105500,"","97 KM","Toyota Corolla Gwarancja przebiegu , 100 % bezwypadkowy i bezkolizyjny","Czerwony","Toyota","",13900,"sierpien 2002","Seria E12 (2001-2007)","Bedzin","Tak","Corolla","Sedan/Limuzyna","Benzyna",50.3255999,19.1254121
"140",2000,"Poland",170000,"","","Toyota Corolla","Niebieski","Toyota","",5000,"","Seria E11 (1997-2002)","Chelmiec","Tak","Corolla","Hatchback","Benzyna",49.6302491,20.6635214
"141",1996,"",228000,"","75 KM","Toyota Corolla Toyota corolla + opony zimowe + elektryczne szyby i szyberdach","Szary","Toyota","",1800,"","Seria E10 (1992-1997)","Zagan","","Corolla","Hatchback","Benzyna",51.6178445,15.3248325
"142",2003,"Poland",167000,"","97 KM","Toyota Corolla Prywatne","Srebrny","Toyota","Tak",14000,"maj 2003","Seria E12 (2001-2007)","Skierniewice","Tak","Corolla","Kombi","Benzyna",51.9547169,20.1583303
"143",1996,"Poland",164000,"","75 KM","Toyota Corolla 1. wlasciciel, klimatyzacja","Czerwony","Toyota","",5000,"czerwiec 1996","Seria E10 (1992-1997)","Wroclaw","Tak","Corolla","Sedan/Limuzyna","Benzyna",51.1078852,17.0385376
"144",2003,"",1,"","110 KM","Toyota Corolla toyota corolla e12 SOUL","Czarny","Toyota","",9500,"","Seria E12 (2001-2007)","Gdynia","","Corolla","Kombi","Diesel",54.5188898,18.5305409
"145",2002,"",187000,"","90 KM","Toyota Corolla","Czerwony","Toyota","",7999,"","Seria E12 (2001-2007)","Bydgoszcz","","Corolla","Hatchback","Diesel",53.1234804,18.0084378
"146",2004,"Germany",165000,"","110 KM","Toyota Corolla Sol benzyna+LPG 1.6 VVTi Klimatronic - pierwsza rejestracja 02.2005 r.","Srebrny","Toyota","Tak",20900,"luty 2005","Seria E12 (2001-2007)","Tomaszów Lubelski","Tak","Corolla","Hatchback","Benzyna+LPG",50.447024,23.4163099
"147",1998,"",189000,"","","Toyota Corolla sprzedam niezawodny japonski rodzinny samochód z gazem i klima!!!","Szary","Toyota","Tak",4500,"","Seria E11 (1997-2002)","Mielec","","Corolla","Kombi","Benzyna+LPG",50.287063,21.4238101
"148",2004,"Poland",160000,"Tak","110 KM","Toyota Corolla 1.6 VVT-i BARDZO LADNA zadbana bezwypadkowa POLECAM klimatyzacja","Niebieski","Toyota","Tak",15800,"grudzien 2003","Seria E12 (2001-2007)","Proszowice","Tak","Corolla","Hatchback","Benzyna",50.1921916,20.2890751
"149",2004,"Germany",189800,"Tak","97 KM","Toyota Corolla 1 wlasciciel,Niemiecki,Serwisowany,Bezwypadkowy,Piekny","Srebrny","Toyota","Tak",14990,"sierpien 2004","Seria E12 (2001-2007)","Boguszyce 102 e - 56-400 Olesnica, Olesnica","Tak","Corolla","Kombi","Benzyna",51.227717,17.400216
"150",2002,"",170000,"","","Toyota Corolla 1.6i+LPG*Automat*","Srebrny","Toyota","Tak",9200,"","Seria E12 (2001-2007)","Nowodworska 1a róg Warszawskiej - 05-119 Michalów-Reginów, legionowski, Mazowieckie","","Corolla","Hatchback","Benzyna+LPG",52.4170488,20.9659367
"151",2005,"",175200,"Tak","90 KM","Toyota Corolla 2.0 D4D SOL Oryginal 175tys km Bezwypadkowa Bez DPF ASO Piekna","Szary","Toyota","Tak",16700,"","Seria E12 (2001-2007)","Biala Podlaska/ Lublin - 21-500 Biala Podlaska, Lubelskie","Tak","Corolla","Kombi","Diesel",52.0387126,23.1445026
"152",2000,"Poland",187000,"","86 KM","Toyota Corolla Stan bdb bez korozji salon polska!!","Bialy","Toyota","",3550,"sierpien 2000","Seria E11 (1997-2002)","Wrzeszcz - 80-416 Gdansk, Wrzeszcz","Tak","Corolla","Kombi","Benzyna",54.3819308,18.6054423
"153",2002,"",206317,"","110 KM","Toyota Corolla 2.0D-4D ==Zadbany== Klima* Alu* Zarej.PL* Zamiana* Raty*","Szary","Toyota","Tak",7300,"","Seria E12 (2001-2007)","ul.Bielska 60 - 09-400 Plock, Mazowieckie","Tak","Corolla","Hatchback","Diesel",52.562911,19.7124509
"154",2003,"France",188800,"Tak","90 KM","Toyota Corolla 2.0 D4D, SOL,bezwyp.serwis, super stan","Srebrny","Toyota","Tak",13900,"czerwiec 2003","Seria E12 (2001-2007)","UL.WARSZAWSKA 17 -  05-300 Choszczówka Stojecka, minski, Mazowieckie","Tak","Corolla","Kombi","Diesel",52.193492,21.5204059
"155",2003,"Wlochy",177000,"","90 KM","Toyota Corolla 2.0 D4D 90km zadbany od prywatnej osoby,","Inny kolor","Toyota","Tak",13900,"kwiecien 2003","Seria E12 (2001-2007)","Leki Dolne","Tak","Corolla","Kombi","Diesel",49.9751916,21.2460902
"156",2004,"Poland",141234,"Tak","97 KM","Toyota Corolla Salon Polska 1.4 Benzyna","Inny kolor","Toyota","",17900,"","Seria E12 (2001-2007)","Janów Podlaski ul.Cicha7 - 21-505 Janów Podlaski, bialski, Lubelskie","Tak","Corolla","Hatchback","Benzyna",52.190059,23.212065
"157",2005,"Poland",182000,"","90 KM","Toyota Corolla","Srebrny","Toyota","Tak",19200,"styczen 2006","Seria E12 (2001-2007)","Piaseczno","","Corolla","Kombi","Diesel",52.0811536,21.0238602
"158",2004,"Germany",151500,"Tak","110 KM","Toyota Corolla 1,6 VVTi Benzyna, Klimatronik, Oplacony","Brazowy","Toyota","Tak",15600,"lipiec 2004","Seria E12 (2001-2007)","Lwówek Slaski","","Corolla","Kombi","Benzyna",51.1095792,15.5905136
"159",2005,"Germany",201000,"Tak","115 KM","Toyota Corolla 2.0 16V 115 KM-D4D---Lift Climatronic---Model 2006-Idealny Stan-OKAZJA","Inny kolor","Toyota","Tak",15999,"","Seria E12 (2001-2007)","Swarzedz","Tak","Corolla","Hatchback","Diesel",52.4125371,17.0855512
"160",1999,"Poland",183000,"","","Toyota Corolla zadbana, alufelgi","Niebieski","Toyota","",6900,"","Seria E11 (1997-2002)","Czestochowa","","Corolla","Hatchback","Benzyna",50.8118195,19.1203094
"161",2004,"Germany",175000,"","192 KM","Toyota Corolla TS 192KM 2004r T-Sport","Czarny","Toyota","",18499,"","Seria E12 (2001-2007)","Tczew","Tak","Corolla","Hatchback","Benzyna",54.0919269,18.7773072
"162",2003,"",108000,"Tak","110 KM","Toyota Corolla Toyota Corolla 1.6 VVT-i Bezwypadkowa Benzyna Klima - Zadbana !","Srebrny","Toyota","Tak",15400,"","Seria E12 (2001-2007)","Kraków","Tak","Corolla","Hatchback","Benzyna",50.0646501,19.9449799
"163",2003,"",144000,"","97 KM","Toyota Corolla 2 komplety opon zima/lato","Niebieski","Toyota","Tak",8900,"","Seria E12 (2001-2007)","Przemyslowa 1  -  84-200 Wejherowo, wejherowski, Pomorskie","","Corolla","Hatchback","Benzyna",54.608717,18.221946
"164",1996,"Poland",127000,"Tak","","Toyota Corolla 1 Wlasciciel","Zielony","Toyota","Tak",7800,"pazdziernik 1996","Seria E10 (1992-1997)","Bienczycka 3 - 31-863 Kraków, Malopolskie","Tak","Corolla","Hatchback","Benzyna",50.074821,20.018144
"165",2003,"Holland",315128,"Tak","90 KM","Toyota Corolla Serwisowany Oryginal 100% D4D bez dwumasy i DPF 1 rejestracja 2004","Niebieski","Toyota","Tak",12800,"styczen 2004","Seria E12 (2001-2007)","Nowy Sacz","Tak","Corolla","Kombi","Diesel",49.6174535,20.7153326
"166",1998,"",80000,"","86 KM","Toyota Corolla Oplacona","Srebrny","Toyota","Tak",6600,"","Seria E11 (1997-2002)","Zywiec","","Corolla","Hatchback","Benzyna",49.6912999,19.1823983
"167",2002,"Poland",175000,"Tak","110 KM","Toyota Corolla corolla e12 SALON POLSKA 2002 1.6 benzyna klima uszkodzony","Czarny","Toyota","Tak",4990,"","Seria E12 (2001-2007)","Siedlce","Tak","Corolla","Hatchback","Benzyna",52.1676031,22.2901645
"168",2003,"Germany",139987,"Tak","97 KM","Toyota Corolla 1,4 Klimatronik","Czarny","Toyota","",15300,"sierpien 2003","Seria E12 (2001-2007)","Zabrze","Tak","Corolla","Hatchback","Benzyna",50.3249278,18.7857186
"169",2005,"Germany",131000,"Tak","110 KM","Toyota Corolla 1.6 VVT-i SOL Oryg. Przebieg 1 Wlasciciel z Niemiec","Czarny","Toyota","Tak",21400,"","Seria E12 (2001-2007)","Legnica","Tak","Corolla","Hatchback","Benzyna",51.2070067,16.1553231
"170",2004,"",189000,"","90 KM","Toyota Corolla","Inny kolor","Toyota","Tak",11300,"","Seria E12 (2001-2007)","1- go Maja  - 32-332 Bukowno, olkuski, Malopolskie","","Corolla","Kombi","Diesel",50.26508,19.44484
"171",2002,"Poland",3e+05,"Tak","97 KM","Toyota Corolla Niezawodna Toyota Corolla pierwszy wlasciciel zamiana!!!","Czerwony","Toyota","",7900,"","Seria E12 (2001-2007)","Otmuchów","","Corolla","Hatchback","Benzyna",50.4660686,17.1733617
"172",2003,"Germany",213000,"","90 KM","Toyota Corolla 2,0 D-4D zarejestrowana + klimatyzacja","Srebrny","Toyota","Tak",10900,"grudzien 2003","Seria E12 (2001-2007)","Suków - 3km od Kielc - 26-021 Suków, kielecki, Swietokrzyskie","","Corolla","Hatchback","Diesel",50.8111196,20.6752869
"173",1999,"Poland",136500,"Tak","","Toyota Corolla","Zielony","Toyota","Tak",7300,"","Seria E11 (1997-2002)","Warszawa","Tak","Corolla","Hatchback","Benzyna",52.2296756,21.0122287
"174",2000,"Poland",173000,"","90 KM","Toyota Corolla 1.4 Benz.Vvti,Abs,Wspom,Elektr.173 tys","Inny kolor","Toyota","Tak",5900,"kwiecien 2000","Seria E11 (1997-2002)","Sochaczew","Tak","Corolla","Hatchback","Benzyna",52.2293372,20.238359
"175",2004,"Germany",197300,"Tak","110 KM","Toyota Corolla sliczna z Niemiec od 1-wl 1.6 Webasto TOP Stan LIFT Sol","Srebrny","Toyota","Tak",18900,"sierpien 2004","Seria E12 (2001-2007)","Walbrzych","Tak","Corolla","Hatchback","Benzyna",50.7840092,16.2843553
"176",2002,"Poland",226000,"","94 KM","Toyota Corolla","Czarny","Toyota","Tak",9900,"maj 2002","Seria E12 (2001-2007)","Elblag","Tak","Corolla","Hatchback","Benzyna",54.1560613,19.4044897
"177",2004,"Germany",191000,"","116 KM","Toyota Corolla z Niemiec","Niebieski","Toyota","Tak",12200,"","Seria E12 (2001-2007)","PIASKOWA 12 - 16-300 Augustów, augustowski, Podlaskie","Tak","Corolla","Kombi","Diesel",53.8518764,22.9505142
"178",2004,"Poland",191000,"","110 KM","Toyota Corolla","Szary","Toyota","Tak",14900,"","Seria E12 (2001-2007)","Gdansk","","Corolla","Sedan/Limuzyna","Benzyna+LPG",54.3520252,18.6466384
"179",2003,"",142000,"Tak","90 KM","Toyota Corolla Klimatronic, serwis, ladna","Srebrny","Toyota","Tak",12600,"","Seria E12 (2001-2007)","Wroclaw","Tak","Corolla","Hatchback","Benzyna",51.1078852,17.0385376
"180",2004,"Germany",189500,"","105 KM","Toyota Corolla Zadbana, pelna dokumentacja 3 kluczyki TUV do 04/2017!! Okazja","Bezowy","Toyota","Tak",9500,"lipiec 2004","Seria E12 (2001-2007)","Pyrzyce","","Corolla","Hatchback","Benzyna",53.1460852,14.8924044
"181",2004,"",2e+05,"","60 KM","Toyota Corolla sedan bezwypadkowa","Srebrny","Toyota","",12900,"","Seria E12 (2001-2007)","Rumia","Tak","Corolla","Sedan/Limuzyna","Diesel",54.5707832,18.3878224
"182",2004,"",206000,"","90 KM","Toyota Corolla 2.0 D4D* klimatronic*parktronic*4xszyby* sprowadzony oplacony*","Inny kolor","Toyota","Tak",11900,"sierpien 2004","Seria E12 (2001-2007)","Poniatowskiego 34 - 86-300 Grudziadz, Kujawsko-pomorskie","","Corolla","Kombi","Diesel",53.5029119,18.775754
"183",2004,"Germany",180000,"","85 KM","Toyota Corolla D4D 2.0","Fioletowy","Toyota","",15000,"","Seria E12 (2001-2007)","Kraków","Tak","Corolla","Hatchback","Diesel",50.0646501,19.9449799
"184",2002,"Germany",139600,"","97 KM","Toyota Corolla 1,4 VVTI zadbany ekonomiczny KLIMA ALU","Niebieski","Toyota","Tak",7900,"","Seria E12 (2001-2007)","Leszno","","Corolla","Hatchback","Benzyna",51.8419861,16.5937545
"185",2003,"Wlochy",132000,"","116 KM","Toyota Corolla Toyota Corolla Kombi 2.0","Szary","Toyota","Tak",15500,"","Seria E12 (2001-2007)","Nowy Targ","Tak","Corolla","Kombi","Diesel",49.4774647,20.032096
"186",2002,"Sweden",128734,"","192 KM","Toyota Corolla T-Sport","Srebrny","Toyota","Tak",5000,"kwiecien 2002","Seria E12 (2001-2007)","Jaworzno","","Corolla","Hatchback","Benzyna",50.204987,19.2739314
"187",2002,"Germany",170000,"","97 KM","Toyota Corolla Ogloszenie prywatne","Zielony","Toyota","",12500,"","Seria E12 (2001-2007)","Elblag","Tak","Corolla","Hatchback","Benzyna",54.1560613,19.4044897
"188",2004,"Poland",198230,"Tak","103 KM","Toyota Corolla 1.4 16v Salon PL Ladna okazja polecam!!!","Srebrny","Toyota","Tak",13900,"luty 2004","Seria E12 (2001-2007)","Krzaki Czaplinkowskie","Tak","Corolla","Kombi","Benzyna",51.9779094,21.1593397
"189",2003,"Austria",153000,"Tak","","Toyota Corolla 5-drzwi 1,4VVT-i Klimatyzacja !! Stan IDEALNY !! ZAPRASZAM !!","Srebrny","Toyota","Tak",14500,"","Seria E12 (2001-2007)","Sucha Beskidzka","Tak","Corolla","Hatchback","Benzyna",49.74127,19.58636
"190",2002,"",213000,"","90 KM","Toyota Corolla 2.0 D4D 90KM","Niebieski","Toyota","",8700,"maj 2002","Seria E12 (2001-2007)","ul.zaszosie  - 08-440 Lipówki, garwolinski, Mazowieckie","","Corolla","Kombi","Diesel",51.9596464,21.5698019
"191",2003,"Germany",120000,"Tak","116 KM","Toyota Corolla","Srebrny","Toyota","Tak",12800,"wrzesien 2003","Seria E12 (2001-2007)","Zielona Góra","","Corolla","Hatchback","Diesel",51.9356214,15.5061862
"192",2002,"Germany",175731,"","97 KM","Toyota Corolla 1.4 sprowadzona oplacona tarnow","Niebieski","Toyota","",8700,"","Seria E12 (2001-2007)","Tarnów","","Corolla","Hatchback","Benzyna",50.0121011,20.9858407
"193",2005,"",148000,"Tak","97 KM","Toyota Corolla Model 2006 Lifting Climatronic 5 Drzwi","Szary","Toyota","Tak",19900,"","Seria E12 (2001-2007)","Malomicka 19j - 59-300 Lubin, lubinski, Dolnoslaskie","","Corolla","Hatchback","Benzyna",51.40916,16.218137
"194",2005,"Germany",149000,"Tak","110 KM","Toyota Corolla 1.6-110PS Klimatronik, Serwis ASO, Bezwypadkowa","Srebrny","Toyota","Tak",19900,"","Seria E12 (2001-2007)","Brzezinki 4 - 42-134 Truskolasy, klobucki, Slaskie","Tak","Corolla","Hatchback","Benzyna",50.8483359,18.80246
"195",1999,"Poland",401000,"Tak","86 KM","Toyota Corolla Bardzo zadbana toyota","Czerwony","Toyota","",5200,"pazdziernik 1999","Seria E11 (1997-2002)","Nowy Staw","Tak","Corolla","Hatchback","Benzyna",54.13607,19.00874
"196",2005,"Austria",169507,"Tak","","Toyota Corolla Toyota Corolla","Szary","Toyota","Tak",16900,"","Seria E12 (2001-2007)","Tarnów","Tak","Corolla","Hatchback","Diesel",50.0121011,20.9858407
"197",2004,"",179500,"","115 KM","Toyota Corolla po wymianie rozrzadu, klocki, tarcze - super stan","Niebieski","Toyota","Tak",17500,"","Seria E12 (2001-2007)","NIEMCEWICZA 3 - 44-274 Rybnik, Slaskie","Tak","Corolla","Hatchback","Diesel",50.0443647,18.5008353
"198",2002,"Poland",250000,"Tak","116 KM","Toyota Corolla USZKODZONY SILNIK - SOL - Automat, 1.6 benzyna","Srebrny","Toyota","Tak",11500,"sierpien 2002","Seria E12 (2001-2007)","Gdynia","Tak","Corolla","Hatchback","Benzyna",54.5188898,18.5305409
"199",2004,"",145000,"","110 KM","Toyota Corolla","Inny kolor","Toyota","Tak",9700,"","Seria E12 (2001-2007)","Wieliczka","Tak","Corolla","Hatchback","Benzyna",49.9870619,20.0647971
"200",1995,"",190000,"","75 KM","Toyota Corolla * zarej w PL *","Czerwony","Toyota","",1900,"","Seria E10 (1992-1997)","Zieleniewo k/Stargardu Szcz. ul. Szczecinska 170 - 73-108 Zieleniewo, stargardzki, Zachodniopomorskie","","Corolla","Hatchback","Benzyna",53.3505027,14.9306462
"201",2004,"Germany",217000,"Tak","115 KM","Toyota Corolla Limited Sport Edition jak nowa","Czarny","Toyota","Tak",14500,"listopad 2004","Seria E12 (2001-2007)","Walbrzych","Tak","Corolla","Hatchback","Benzyna",50.7840092,16.2843553
